Otiluke Black
Mordenkainen Snape
Faust Rahl
Oscar Ridcully
Melf Weasley
Tenser Carolinus
Adbaldar Voldemort
Thulsa Rune
Gwydion Stibbons
Kvothe Malfoy
Zeddicus Amon
Nystul Dresden
Ganon Zorander
Murlynd Yaztromo
Pallando Doom
Blaze Flagg
Alodar Fletcher
Bloise Orr
Bigby Hines
Merlin Pope
Puck Stephenson
Elminster Zamora
Khelben Olsen
Harry Craig
Radagast Cunningham
Saruman Gallagher
Otto Mullen
Randall Herrera
Gandalf Shaffer
Drawmij Acevedo
Gereth Silva
Zagyg Henry
Blaise Pratt
Rincewind Rowe
Atlantes Ryan
Prospero West
Allanon Parks
Eric Stephens
Severus Owen
Morgon Huff
Pug Lane
Chun Simon
Draco Campbell
Belgarath Chapman
Leomund Sosa
Ron Davies
Dramij Hendrix
Bayaz Allison
Gideon Reynolds
Abhaydatta Dejesus
